iter	Passed	Remaining
853	1420	242
854	1422	241
855	1423	239
856	1425	237
857	1427	236
858	1428	234
859	1430	232
860	1432	231
861	1433	229
862	1435	227
863	1437	226
864	1438	224
865	1440	222
866	1442	221
867	1444	219
868	1445	217
869	1447	216
870	1449	214
871	1450	212
872	1452	211
873	1454	209
874	1455	207
875	1457	206
876	1459	204
877	1460	203
878	1462	201
879	1464	199
880	1465	198
881	1467	196
882	1469	194
883	1470	193
884	1472	191
885	1474	189
886	1475	187
887	1477	186
888	1479	184
889	1480	182
890	1482	181
891	1483	179
892	1485	178
893	1487	176
894	1489	174
895	1490	173
896	1492	171
897	1494	169
898	1495	168
899	1497	166
900	1499	164
901	1500	163
902	1502	161
903	1504	159
904	1505	158
905	1507	156
906	1509	154
907	1510	153
908	1512	151
909	1514	149
910	1516	148
911	1517	146
912	1519	144
913	1520	143
914	1522	141
915	1524	139
916	1526	138
917	1527	136
918	1529	134
919	1531	133
920	1532	131
921	1534	129
922	1536	128
923	1537	126
924	1539	124
925	1541	123
926	1542	121
927	1544	119
928	1546	118
929	1547	116
930	1549	114
931	1551	113
932	1552	111
933	1554	109
934	1556	108
935	1557	106
936	1559	104
937	1561	103
938	1562	101
939	1564	99
940	1566	98
941	1568	96
942	1569	94
943	1571	93
944	1573	91
945	1574	89
946	1576	88
947	1578	86
948	1579	84
949	1581	83
950	1583	81
951	1585	79
952	1586	78
953	1588	76
954	1590	74
955	1591	73
956	1593	71
957	1595	69
958	1596	68
959	1598	66
960	1600	64
961	1601	63
962	1603	61
963	1605	59
964	1606	58
965	1608	56
966	1610	54
967	1611	53
968	1613	51
969	1615	49
970	1616	48
971	1618	46
972	1620	44
973	1622	43
974	1623	41
975	1625	39
976	1627	38
977	1628	36
978	1630	34
979	1632	33
980	1634	31
981	1635	29
982	1637	28
983	1639	26
984	1640	24
985	1642	23
986	1644	21
987	1645	19
988	1647	18
989	1649	16
990	1650	14
991	1652	13
992	1654	11
993	1655	9
994	1657	8
995	1658	6
996	1660	4
997	1662	3
998	1663	1
999	1665	0
